Date,Open,High,Low,Close,Volume
12/31/2024,"10.08","10.18","10.08","10.12","505,978"
12/30/2024,"10.09","10.13","9.97","10.07","1,184,448"
12/27/2024,"9.93","10.05","9.86","10.04","1,658,330"
12/26/2024,"9.97","10.10","9.94","10.07","1,593,334"
12/24/2024,"9.99","10.17","9.91","10.11","948,044"
12/23/2024,"9.66","9.92","9.62","9.92","1,597,707"
12/20/2024,"9.77","9.87","9.72","9.76","2,137,693"
12/19/2024,"9.93","10.00","9.85","9.86","2,722,612"
12/18/2024,"10.01","10.10","9.78","9.88","3,121,378"
12/17/2024,"10.45","10.65","10.35","10.43","1,432,136"
12/16/2024,"10.31","10.55","10.31","10.33","1,829,166"
12/13/2024,"10.38","10.40","10.28","10.31","2,057,596"
12/12/2024,"10.57","10.57","10.41","10.46","2,064,467"
12/11/2024,"10.74","10.84","10.59","10.69","1,748,418"
12/10/2024,"10.83","10.86","10.67","10.70","1,514,824"
12/09/2024,"10.79","10.98","10.77","10.93","1,833,934"
12/06/2024,"10.81","10.81","10.70","10.72","1,048,581"
12/05/2024,"10.81","10.88","10.67","10.81","1,380,951"
12/04/2024,"10.69","10.82","10.68","10.80","2,002,544"
12/03/2024,"10.24","10.53","10.21","10.52","1,958,351"
12/02/2024,"10.32","10.35","10.15","10.24","2,307,217"
11/29/2024,"10.28","10.44","10.21","10.35","2,267,903"
11/27/2024,"10.28","10.34","10.03","10.04","5,707,861"
11/26/2024,"10.33","10.34","10.12","10.19","4,625,532"
11/25/2024,"10.50","10.54","10.32","10.32","2,233,711"
11/22/2024,"10.45","10.53","10.38","10.49","1,380,096"
11/21/2024,"10.40","10.59","10.37","10.56","2,517,939"
11/20/2024,"10.47","10.60","10.47","10.56","563,514"
11/19/2024,"10.59","10.59","10.46","10.49","924,546"
11/18/2024,"10.53","10.67","10.52","10.64","1,878,445"
11/15/2024,"10.45","10.82","10.41","10.64","1,473,801"
11/14/2024,"10.34","10.56","10.32","10.49","2,383,727"
11/13/2024,"10.30","10.34","10.22","10.29","880,427"
11/12/2024,"10.16","10.31","10.13","10.27","1,075,921"
11/11/2024,"10.08","10.14","10.02","10.10","728,760"
11/08/2024,"10.21","10.24","9.98","10.17","1,467,711"
11/07/2024,"10.46","10.46","10.23","10.36","1,159,083"
11/06/2024,"10.45","10.59","10.40","10.43","798,403"
11/05/2024,"10.39","10.52","10.36","10.51","769,453"
11/04/2024,"10.35","10.39","10.29","10.34","951,638"
11/01/2024,"10.38","10.38","10.18","10.22","2,387,081"
10/31/2024,"10.51","10.53","10.26","10.27","2,515,591"
10/30/2024,"10.34","10.48","10.32","10.43","1,368,936"
10/29/2024,"10.47","10.50","10.32","10.34","1,048,501"
10/28/2024,"10.61","10.64","10.40","10.41","1,911,819"
10/25/2024,"10.35","10.55","10.34","10.41","1,365,953"
10/24/2024,"10.15","10.24","10.06","10.20","1,250,959"
10/23/2024,"10.10","10.17","10.06","10.14","896,639"
10/22/2024,"9.88","10.25","9.88","10.15","1,835,653"
10/21/2024,"9.90","10.02","9.87","9.90","1,208,378"
10/18/2024,"9.82","9.84","9.72","9.82","1,271,976"
10/17/2024,"9.63","9.79","9.61","9.72","691,775"
10/16/2024,"9.62","9.70","9.56","9.64","1,207,560"
10/15/2024,"9.75","9.78","9.62","9.67","1,560,719"
10/14/2024,"9.60","9.92","9.60","9.87","2,527,601"
10/11/2024,"9.64","9.83","9.60","9.67","1,712,358"
10/10/2024,"9.75","9.76","9.64","9.72","1,050,309"
10/09/2024,"9.99","9.99","9.73","9.75","1,198,031"
10/08/2024,"9.99","10.13","9.94","10.05","1,081,589"
10/07/2024,"10.18","10.32","10.15","10.20","1,272,795"
10/04/2024,"10.08","10.25","10.02","10.25","777,301"
10/03/2024,"9.90","10.06","9.88","10.02","760,944"
10/02/2024,"10.24","10.24","10.07","10.11","759,298"
10/01/2024,"10.04","10.15","9.97","10.09","1,045,431"
09/30/2024,"10.03","10.10","9.96","10.00","580,597"
09/27/2024,"9.98","10.14","9.97","10.02","1,046,782"
09/26/2024,"9.69","10.01","9.69","9.96","2,178,428"
09/25/2024,"9.68","9.68","9.48","9.48","715,357"
09/24/2024,"9.56","9.78","9.56","9.72","1,693,644"
09/23/2024,"9.35","9.36","9.22","9.35","2,877,634"
09/20/2024,"9.56","9.60","9.42","9.44","1,052,423"
09/19/2024,"9.72","9.74","9.66","9.68","572,121"
09/18/2024,"9.76","9.82","9.61","9.65","672,759"
09/17/2024,"9.58","9.73","9.55","9.70","1,349,796"
09/16/2024,"9.78","9.84","9.58","9.62","1,419,516"
09/13/2024,"9.81","9.88","9.75","9.77","907,147"
09/12/2024,"9.69","9.75","9.57","9.67","2,227,020"
09/11/2024,"9.73","9.82","9.66","9.79","1,729,852"
09/10/2024,"9.82","9.91","9.70","9.75","1,213,150"
09/09/2024,"9.70","9.76","9.67","9.70","432,050"
09/06/2024,"9.91","9.93","9.70","9.73","825,191"
09/05/2024,"9.87","9.92","9.76","9.89","758,844"
09/04/2024,"9.71","9.92","9.71","9.82","1,464,794"
09/03/2024,"9.83","9.85","9.61","9.68","1,197,243"
08/30/2024,"9.81","9.85","9.69","9.74","2,642,052"
08/29/2024,"10.00","10.03","9.83","9.91","1,867,755"
08/28/2024,"10.08","10.20","10.06","10.11","561,612"
08/27/2024,"10.01","10.17","9.99","10.11","951,023"
08/26/2024,"10.23","10.27","10.06","10.10","1,511,465"
08/23/2024,"10.12","10.33","10.05","10.26","1,471,784"
08/22/2024,"10.23","10.29","10.07","10.13","3,323,427"
08/21/2024,"10.37","10.42","10.30","10.35","2,242,697"
08/20/2024,"10.10","10.28","10.10","10.24","2,153,759"
08/19/2024,"10.09","10.28","10.08","10.19","917,217"
08/16/2024,"9.96","10.00","9.83","9.98","985,112"
08/15/2024,"10.04","10.06","9.75","9.85","1,370,088"
08/14/2024,"10.02","10.12","10.01","10.03","3,444,289"
08/13/2024,"10.00","10.05","9.95","10.00","966,153"
08/12/2024,"9.94","9.96","9.86","9.92","1,004,215"
08/09/2024,"9.94","10.04","9.84","9.96","4,583,188"
08/08/2024,"9.31","9.75","9.29","9.63","5,898,587"
08/07/2024,"9.37","9.45","9.25","9.27","2,789,689"
08/06/2024,"9.19","9.35","9.16","9.19","2,458,495"
08/05/2024,"9.01","9.31","8.99","9.22","2,626,666"
08/02/2024,"9.41","9.41","9.26","9.28","2,016,362"
08/01/2024,"9.58","9.74","9.38","9.41","1,706,963"
07/31/2024,"9.50","9.62","9.34","9.54","1,954,970"
07/30/2024,"9.28","9.56","9.25","9.52","678,628"
07/29/2024,"9.21","9.47","9.15","9.40","1,595,931"
07/26/2024,"9.29","9.30","9.15","9.18","933,266"
07/25/2024,"9.56","9.57","9.29","9.33","1,212,866"
07/24/2024,"9.44","9.50","9.36","9.37","801,170"
07/23/2024,"9.59","9.62","9.48","9.51","691,362"
07/22/2024,"9.68","9.69","9.51","9.58","892,303"
07/19/2024,"9.74","9.75","9.56","9.60","587,712"
07/18/2024,"9.82","9.87","9.63","9.64","734,846"
07/17/2024,"9.95","10.03","9.86","9.90","847,429"
07/16/2024,"10.13","10.19","9.95","9.99","679,077"
07/15/2024,"9.78","10.06","9.70","9.91","2,228,176"
07/12/2024,"9.65","9.68","9.59","9.64","1,837,986"
07/11/2024,"9.72","9.84","9.68","9.74","1,185,302"
07/10/2024,"9.75","9.76","9.61","9.70","1,727,516"
07/09/2024,"9.84","9.84","9.68","9.71","3,602,159"
07/08/2024,"9.97","9.97","9.73","9.78","2,396,514"
07/05/2024,"10.18","10.28","10.01","10.02","2,234,309"
07/03/2024,"10.32","10.35","10.14","10.35","1,828,347"
07/02/2024,"10.21","10.30","10.05","10.15","1,284,010"
07/01/2024,"10.38","10.43","10.21","10.23","1,052,440"
06/28/2024,"10.19","10.37","10.11","10.27","3,228,607"
06/27/2024,"10.50","10.62","10.23","10.41","10,072,080"
06/26/2024,"9.26","9.35","9.20","9.21","1,537,158"
06/25/2024,"9.28","9.29","9.14","9.15","1,146,916"
06/24/2024,"9.16","9.30","9.12","9.24","955,949"
06/21/2024,"8.93","9.10","8.89","9.01","2,238,518"
06/20/2024,"9.05","9.14","8.85","8.87","1,642,583"
06/18/2024,"9.09","9.12","8.90","8.93","1,312,498"
06/17/2024,"9.03","9.05","8.96","8.99","1,395,183"
06/14/2024,"9.00","9.19","8.99","9.06","1,661,648"
06/13/2024,"9.06","9.23","9.06","9.14","1,566,155"
06/12/2024,"9.19","9.20","8.95","9.12","2,107,819"
06/11/2024,"9.27","9.28","9.16","9.17","1,273,316"
06/10/2024,"9.10","9.35","9.08","9.33","1,233,444"
06/07/2024,"9.32","9.42","9.16","9.17","4,517,774"
06/06/2024,"8.91","9.25","8.91","9.18","2,225,267"
06/05/2024,"8.91","8.94","8.78","8.85","2,161,163"
06/04/2024,"8.89","8.97","8.83","8.87","3,199,069"
06/03/2024,"9.19","9.28","8.97","8.98","4,273,830"
05/31/2024,"9.44","9.45","9.30","9.35","3,268,693"
05/30/2024,"9.61","9.66","9.44","9.56","1,371,678"
05/29/2024,"9.40","9.56","9.38","9.50","1,680,168"
05/28/2024,"9.64","9.67","9.54","9.57","2,686,002"
05/24/2024,"9.73","9.79","9.50","9.51","4,098,701"
05/23/2024,"9.43","9.90","9.31","9.84","4,882,745"
05/22/2024,"9.54","9.56","9.37","9.38","2,301,949"
05/21/2024,"9.77","9.81","9.60","9.60","5,327,087"
05/20/2024,"10.23","10.33","10.02","10.21","4,375,265"
05/17/2024,"10.03","10.16","10.01","10.16","4,784,025"
05/16/2024,"10.03","10.14","9.91","10.09","6,264,806"
05/15/2024,"9.77","9.96","9.68","9.84","1,458,211"
05/14/2024,"10.00","10.04","9.74","9.76","4,588,967"
05/13/2024,"10.06","10.08","9.77","9.85","5,846,704"
05/10/2024,"10.11","10.40","10.04","10.06","5,842,292"
05/09/2024,"10.13","10.39","10.09","10.36","9,297,951"
05/08/2024,"10.34","10.73","10.31","10.36","9,382,546"
05/07/2024,"11.86","11.93","10.25","10.39","12,341,770"
05/06/2024,"11.68","11.81","11.62","11.75","758,435"
05/03/2024,"11.63","11.68","11.57","11.66","535,343"
05/02/2024,"11.50","11.59","11.45","11.52","677,624"
05/01/2024,"11.26","11.39","11.14","11.27","444,111"
04/30/2024,"11.34","11.37","11.22","11.24","1,586,506"
04/29/2024,"11.60","11.65","11.44","11.49","1,023,688"
04/26/2024,"11.68","11.86","11.63","11.67","1,144,351"
04/25/2024,"11.55","11.78","11.53","11.61","1,014,517"
04/24/2024,"11.63","11.75","11.60","11.74","941,142"
04/23/2024,"11.57","11.79","11.54","11.74","531,869"
04/22/2024,"11.68","11.78","11.66","11.73","756,223"
04/19/2024,"11.54","11.83","11.53","11.79","818,025"
04/18/2024,"11.58","11.63","11.44","11.59","1,192,038"
04/17/2024,"11.70","11.71","11.56","11.58","745,258"
04/16/2024,"11.67","11.79","11.56","11.60","1,817,969"
04/15/2024,"11.74","11.92","11.67","11.76","1,843,194"
04/12/2024,"11.93","12.05","11.85","11.90","971,862"
04/11/2024,"12.09","12.10","11.99","12.01","1,087,921"
